OBJECTID,FID_,OBJECTID_1,OBJECTID_2,PATH,NAME,DATETIME,DIRECTION,GLOBALID,POINT_X,POINT_Y,POINT_Z,POINT_M,SOURCEDATA,F_AREA,ACRES,INSIDE_X,INSIDE_Y,cwd,fog,ppt,tmn,tmx
42,399,400,400,D:\Users\Wildlands\Desktop\QUTO\0F4A3628.jpg,0F4A3628.jpg,2015:04:29 09:36:11,65535,{ADCB03C4-69B0-49B5-B513-9195D835FCD9},-119.848705,34.04267833,561.7,1, ,0,0,0,0,894.1030273,0.415955991,567.6530151,5.505599976,23.03790092
43,425,426,426,D:\Users\Wildlands\Desktop\QUTO\0F4A3654.jpg,0F4A3654.jpg,2015:04:29 09:36:36,65535,{5A906F79-9A12-4DD6-BA3B-39769D043713},-119.8487817,34.04331167,552.6,1, ,0,0,0,0,894.1030273,0.415955991,567.6530151,5.505599976,23.03790092
44,438,439,439,D:\Users\Wildlands\Desktop\QUTO\0F4A3667.jpg,0F4A3667.jpg,2015:04:29 09:36:42,65535,{2AFDCA51-D822-480B-8FAE-BD4247F36FD9},-119.8496383,34.04387833,548.3,1, ,0,0,0,0,894.1030273,0.415955991,567.6530151,5.505599976,23.03790092
45,464,465,465,D:\Users\Wildlands\Desktop\QUTO\0F4A3693.jpg,0F4A3693.jpg,2015:04:29 09:36:57,65535,{50F51E81-CD40-45A4-8099-81699F39F1E6},-119.8502967,34.04373667,539.5,1, ,0,0,0,0,894.1030273,0.415955991,567.6530151,5.505599976,23.03790092
46,479,480,480,D:\Users\Wildlands\Desktop\QUTO\0F4A3708.jpg,0F4A3708.jpg,2015:04:29 09:37:11,65535,{CFE37BEC-383F-49E2-8148-23BA3CE158D3},-119.8509017,34.04395167,532.6,1, ,0,0,0,0,894.1030273,0.415955991,567.6530151,5.505599976,23.03790092
47,487,488,488,D:\Users\Wildlands\Desktop\QUTO\0F4A3721.jpg,0F4A3721.jpg,2015:04:29 09:37:33,65535,{7F50BB3D-5C40-42A0-9E4F-AFB6A7A33F96},-119.85106,34.043745,533.6,1, ,0,0,0,0,895.460022,0.401924014,574.4970093,5.346099854,23.83270073
48,495,496,496,D:\Users\Wildlands\Desktop\QUTO\0F4A3729.jpg,0F4A3729.jpg,2015:04:29 09:37:49,65535,{70FB53B0-3A46-4013-9081-0598918AC3D3},-119.8517733,34.04381333,537.8,1, ,0,0,0,0,895.460022,0.401924014,574.4970093,5.346099854,23.83270073
49,505,506,506,D:\Users\Wildlands\Desktop\QUTO\0F4A3739.jpg,0F4A3739.jpg,2015:04:29 09:38:06,65535,{BDDF2FD8-40B8-488D-9A3C-C9A0EDCC4FA3},-119.8525533,34.04427,536.9,1, ,0,0,0,0,895.460022,0.401924014,574.4970093,5.346099854,23.83270073
50,509,510,510,D:\Users\Wildlands\Desktop\QUTO\0F4A3743.jpg,0F4A3743.jpg,2015:04:29 09:38:21,65535,{836AF3FF-E793-487F-9F3C-6D2D9A57242F},-119.8534683,34.04399833,534.9,1, ,0,0,0,0,895.460022,0.401924014,574.4970093,5.346099854,23.83270073
51,513,514,514,D:\Users\Wildlands\Desktop\QUTO\0F4A3747.jpg,0F4A3747.jpg,2015:04:29 09:38:32,65535,{E56A0CF6-796B-4D96-BD73-485F73C36006},-119.8550917,34.04539667,535.3,1, ,0,0,0,0,894.7130127,0.328397989,575.4429932,5.454599857,23.93400002
